0.936445;
0.968223;
0.978815;
0.984111;
0.987289;
0.989408;
0.990921;
0.992056;
0.992938;
0.993645;
0.994222;
0.994704;
0.995111;
0.995460;
0.995763;
0.996028;
0.996261;
0.996469;
0.996655;
0.996822;
0.996974;
0.997111;
0.997237;
0.997352;
0.997458;
0.997556;
0.997646;
0.997730;
0.997808;
0.997882;
0.997950;
0.998014;
0.998074;
0.998131;
0.998184;
0.998235;
0.998282;
0.998328;
0.998370;
0.998411;
0.998450;
0.998487;
0.998522;
0.998556;
0.998588;
0.998618;
0.998648;
0.998676;
0.998703;
0.998729;
0.998754;
0.998778;
0.998801;
0.998823;
0.998844;
0.998865;
0.998885;
0.998904;
0.998923;
0.998941;
0.998958;
0.998975;
0.998991;
0.999007;

28.576642;
70.287487;
106.156065;
148.087164;
188.938827;
228.770193;
268.697315;
310.421920;
355.312449;
397.726957;
438.128903;
477.164291;
516.556168;
557.779884;
598.490917;
637.410253;
677.320938;
718.154847;
759.871703;
800.926043;
842.623237;
884.637235;
927.833835;
971.592258;
1015.189983;
1058.470777;
1101.114431;
1143.750158;
1186.601479;
1229.273458;
1271.853769;
1313.881869;
1356.316935;
1398.882101;
1441.368987;
1483.613678;
1525.353640;
1567.025614;
1608.663697;
1650.114875;
1690.959883;
1730.943307;
1771.146482;
1810.784764;
1850.456787;
1890.280224;
1930.161328;
1970.090101;
2010.339111;
2050.986291;
2092.035072;
2132.784797;
2173.318262;
2213.551678;
2254.188421;
2295.150744;
2336.301449;
2377.178659;
2418.259128;
2459.323169;
2500.226313;
2541.058106;
2581.795750;
2622.502234;

42.623321;
84.810826;
120.838292;
162.848834;
203.748163;
243.611306;
283.561126;
325.302755;
370.206525;
412.631624;
453.042237;
492.084847;
531.482835;
572.711790;
613.427362;
652.350671;
692.264860;
733.101885;
774.821528;
815.878377;
857.577840;
899.593902;
942.792386;
986.552536;
1030.151850;
1073.434111;
1116.079123;
1158.716111;
1201.568606;
1244.241680;
1286.823017;
1328.852077;
1371.288047;
1413.854062;
1456.341750;
1498.587197;
1540.327875;
1582.000526;
1623.639253;
1665.091042;
1705.936631;
1745.920609;
1786.124312;
1825.763098;
1865.435602;
1905.259500;
1945.141045;
1985.070241;
2025.319656;
2065.967224;
2107.016380;
2147.766464;
2188.300274;
2228.534024;
2269.171088;
2310.133720;
2351.284724;
2392.162222;
2433.242970;
2474.307280;
2515.210685;
2556.042730;
2596.780618;
2637.487339;

27.936612;
22.066733;
18.029344;
15.470936;
13.669542;
12.300113;
11.202125;
10.263841;
9.534606;
8.897707;
8.368693;
7.893989;
7.468655;
7.097951;
6.767747;
6.472435;
6.202926;
5.949200;
5.717524;
5.509825;
5.311812;
5.131649;
4.963065;
4.810468;
4.668433;
4.531909;
4.411732;
4.290160;
4.178211;
4.071667;
3.971086;
3.879056;
3.787292;
3.704141;
3.625310;
3.547419;
3.475825;
3.405115;
3.339314;
3.276811;
3.218264;
3.158290;
3.100700;
3.046610;
2.993812;
2.943162;
2.895415;
2.847503;
2.803703;
2.759510;
2.716586;
2.675968;
2.636494;
2.597388;
2.559579;
2.522799;
2.488669;
2.455379;
2.422545;
2.390716;
2.360131;
2.329412;
2.300012;
2.272044;

56.834402;
88.884555;
98.608592;
109.541318;
118.000379;
124.261127;
128.844895;
131.295371;
136.291698;
139.112257;
142.178412;
143.788717;
144.724228;
146.254829;
147.643107;
148.809640;
149.813281;
150.047249;
150.352507;
151.074518;
151.074050;
151.425871;
151.670073;
152.497387;
153.322049;
153.565579;
154.901128;
154.875114;
155.260016;
155.467172;
155.680368;
156.409297;
156.335035;
157.015115;
157.723981;
157.847621;
158.483173;
158.615126;
159.123725;
159.714613;
160.556999;
160.475584;
160.401214;
160.594361;
160.598795;
160.650718;
160.965394;
160.794342;
161.274354;
161.251132;
161.179366;
161.343008;
161.442775;
161.268756;
161.129255;
160.958607;
161.268646;
161.506254;
161.579764;
161.668785;
161.861259;
161.715303;
161.727553;
161.956485;

84.771014;
110.951288;
116.637936;
125.012253;
131.669920;
136.561240;
140.047020;
141.559212;
145.826305;
148.009964;
150.547105;
151.682706;
152.192884;
153.352780;
154.410854;
155.282074;
156.016208;
155.996449;
156.070031;
156.584343;
156.385862;
156.557520;
156.633138;
157.307855;
157.990482;
158.097488;
159.312861;
159.165274;
159.438226;
159.538839;
159.651454;
160.288353;
160.122327;
160.719256;
161.349291;
161.395040;
161.958998;
162.020241;
162.463039;
162.991424;
163.775263;
163.633875;
163.501914;
163.640971;
163.592607;
163.593880;
163.860809;
163.641844;
164.078057;
164.010642;
163.895952;
164.018975;
164.079269;
163.866144;
163.688834;
163.481406;
163.757315;
163.961632;
164.002308;
164.059501;
164.221390;
164.044715;
164.027564;
164.228528;

1.988841;
1.534316;
1.244090;
1.062996;
0.936583;
0.841074;
0.764866;
0.700056;
0.649685;
0.605820;
0.569404;
0.536799;
0.507633;
0.482225;
0.459610;
0.439396;
0.420964;
0.403636;
0.387821;
0.373642;
0.360140;
0.347855;
0.336367;
0.325965;
0.316285;
0.306989;
0.298797;
0.290525;
0.282906;
0.275658;
0.268817;
0.262554;
0.256316;
0.250660;
0.245299;
0.240006;
0.235138;
0.230334;
0.225862;
0.221614;
0.217634;
0.213562;
0.209653;
0.205980;
0.202396;
0.198959;
0.195717;
0.192467;
0.189493;
0.186495;
0.183584;
0.180829;
0.178151;
0.175500;
0.172937;
0.170444;
0.168129;
0.165871;
0.163645;
0.161488;
0.159414;
0.157333;
0.155340;
0.153445;

256.000000;
384.000000;
512.000000;
640.000000;
768.000000;
896.000000;
1024.000000;
1152.000000;
1280.000000;
1408.000000;
1536.000000;
1664.000000;
1792.000000;
1920.000000;
2048.000000;
2176.000000;
2304.000000;
2432.000000;
2560.000000;
2688.000000;
2816.000000;
2944.000000;
3072.000000;
3200.000000;
3328.000000;
3456.000000;
3584.000000;
3712.000000;
3840.000000;
3968.000000;
4096.000000;
4224.000000;
4352.000000;
4480.000000;
4608.000000;
4736.000000;
4864.000000;
4992.000000;
5120.000000;
5248.000000;
5376.000000;
5504.000000;
5632.000000;
5760.000000;
5888.000000;
6016.000000;
6144.000000;
6272.000000;
6400.000000;
6528.000000;
6656.000000;
6784.000000;
6912.000000;
7040.000000;
7168.000000;
7296.000000;
7424.000000;
7552.000000;
7680.000000;
7808.000000;
7936.000000;
8064.000000;
8192.000000;
8320.000000;

